"","date","indicator","X1Y","X2Y","X3Y","X4Y","X5Y","X7Y","X10Y"
"231",2008-05-29,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"232",2008-05-30,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"233",2008-06-02,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"234",2008-06-03,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"235",2008-06-04,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"236",2008-06-05,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"237",2008-06-06,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"238",2008-06-09,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"239",2008-06-10,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"240",2008-06-11,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"241",2008-06-12,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"242",2008-06-13,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"243",2008-06-16,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"244",2008-06-17,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"245",2008-06-18,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"246",2008-06-19,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"247",2008-06-20,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"248",2008-06-23,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"249",2008-06-24,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"250",2008-06-25,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"251",2008-06-26,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"252",2008-06-27,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"253",2008-06-30,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"254",2008-07-01,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"255",2008-07-02,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"256",2008-07-03,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"257",2008-07-04,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"258",2008-07-07,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"259",2008-07-08,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"260",2008-07-09,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"261",2008-07-10,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"262",2008-07-11,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"263",2008-07-14,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"264",2008-07-15,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"265",2008-07-16,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"266",2008-07-17,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"267",2008-07-18,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"268",2008-07-21,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"269",2008-07-22,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"270",2008-07-23,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"271",2008-07-24,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"272",2008-07-25,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"273",2008-07-28,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"274",2008-07-29,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"275",2008-07-30,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"276",2008-07-31,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"277",2008-08-01,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"278",2008-08-04,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"279",2008-08-05,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"280",2008-08-06,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"281",2008-08-07,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"282",2008-08-08,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"283",2008-08-11,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"284",2008-08-12,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"285",2008-08-13,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"286",2008-08-14,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"287",2008-08-15,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"288",2008-08-18,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"289",2008-08-19,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
