Date,3M 
6/3/2008,17.55
6/2/2008,17.55
5/30/2008,17.55
5/29/2008,17.55
5/28/2008,17.55
5/27/2008,17.55
5/26/2008,11.4
5/23/2008,10.04
5/22/2008,10.04
5/21/2008,10.04
5/20/2008,7.73
5/19/2008,7.73
5/16/2008,7.73
5/15/2008,7.73
5/14/2008,7.73
5/13/2008,7.73
5/12/2008,7.73
5/9/2008,7.73
5/8/2008,7.73
5/7/2008,7.73
5/6/2008,7.73
5/5/2008,7.73
5/2/2008,7.73
5/1/2008,7.73
4/30/2008,7.73
4/29/2008,7.73
4/28/2008,7.73
4/25/2008,7.73
4/24/2008,7.03
4/23/2008,7.16
4/22/2008,5.22
4/21/2008,5.22
4/18/2008,5.22
4/17/2008,5.22
4/16/2008,5.22
4/15/2008,5.22
4/14/2008,5.22
4/11/2008,3.98
4/10/2008,3.98
4/9/2008,3.98
4/8/2008,3.98
4/7/2008,3.98
4/4/2008,3.98
4/3/2008,3.98
4/2/2008,3.98
4/1/2008,6.3
3/31/2008,6.3
3/28/2008,6.3
3/27/2008,5.94
3/26/2008,5.59
3/25/2008,6.02
3/24/2008,6.74
3/21/2008,6.74
3/20/2008,6.73
3/19/2008,6.61
3/18/2008,6.92
3/17/2008,7.27
3/14/2008,4.85
3/13/2008,4.85
3/12/2008,4.85
3/11/2008,4.85
3/10/2008,4.85
3/7/2008,4.85
3/6/2008,4.85
3/5/2008,4.85
3/4/2008,4.85
3/3/2008,3.86
2/29/2008,3.86
2/28/2008,4.17
2/27/2008,3.98
2/26/2008,4.87
2/25/2008,4.87
2/22/2008,4.97
2/21/2008,4.91
2/20/2008,4.91
2/19/2008,5.06
2/18/2008,5.46
2/15/2008,5.73
2/14/2008,5.13
2/13/2008,4.57
2/12/2008,4.54
2/11/2008,4.53
2/8/2008,4.02
2/7/2008,4.07
2/6/2008,4.27
2/5/2008,4.01
2/4/2008,3.9
2/1/2008,3.54
1/31/2008,3.45
1/30/2008,3.8
1/29/2008,3.6
1/28/2008,3.5
1/25/2008,2.99
1/24/2008,3.93
1/23/2008,3.74
1/22/2008,4.76
1/21/2008,4.05
1/18/2008,3.71
1/17/2008,3.9
1/16/2008,3.32
1/15/2008,2.37
1/14/2008,2.47
1/11/2008,3.02
1/10/2008,3.12
1/9/2008,2.73
1/8/2008,2.49
1/7/2008,2.89
1/4/2008,3.54
1/3/2008,3.97
1/2/2008,3.68
1/1/2008,3.5
12/31/2007,3.5
12/28/2007,3.5
12/27/2007,3.5
12/26/2007,4.25
12/25/2007,4.25
12/24/2007,4.25
12/21/2007,4.4
12/20/2007,4.35
12/19/2007,4.82
12/18/2007,4.98
12/17/2007,4.15
12/14/2007,4.15
12/13/2007,3.89
12/12/2007,4.02
12/11/2007,3.96
12/10/2007,4.15
12/7/2007,4.15
12/6/2007,4.73
12/5/2007,4.73
12/4/2007,4.76
12/3/2007,5
11/30/2007,5.07
11/29/2007,5.16
11/28/2007,5.1
11/27/2007,4.96
11/26/2007,4.83
11/23/2007,3.36
11/22/2007,3.36
11/21/2007,3.36
11/20/2007,3.36
11/19/2007,3.36
11/16/2007,3.36
11/15/2007,3.36
