Date,1Y ,2Y,3Y,4Y,5Y,7Y,10Y
12/18/2012,1.025,1.175,1.275,1.3875,1.525,1.675,2.9
12/17/2012,0.625,0.8,0.875,1.025,1.25,1.7,2.6
12/14/2012,0.7,0.85,0.9,0.975,1.2,1.45,3
12/13/2012,0.375,0.725,0.775,0.875,1.15,1.425,2.45
12/12/2012,0.625,0.775,0.875,1.025,1.25,1.55,2.7
12/11/2012,0.675,0.85,0.95,1.2,1.425,1.675,2.7
12/10/2012,0.825,1,1.05,1.3,1.575,2,2.9
12/7/2012,0.775,1,1.05,1.3,1.575,2,2.9
12/6/2012,0.825,1.075,1.075,1.3,1.55,2,2.9
12/5/2012,0.8,1.05,1.05,1.3,1.625,2.125,2.9
12/4/2012,0.8,1.025,1.05,1.3,1.625,2.125,2.9
12/3/2012,0.8,0.9875,1.0375,1.3,1.6,2.125,2.9
11/30/2012,0.925,1.0125,1.025,1.325,1.625,2.075,2.9
11/29/2012,0.925,1.0125,1.025,1.325,1.625,2.075,2.9
11/28/2012,0.875,1.1,1.125,1.375,1.65,2.15,3.05
11/27/2012,1,1.15,1.175,1.375,1.675,2.15,3.05
11/26/2012,1.1,1.15,1.15,1.375,1.675,2.15,3.05
11/23/2012,1.15,1.15,1.25,1.375,1.625,2.2,3
11/22/2012,1.3,1.475,1.475,1.6,1.925,2.425,3.65
11/21/2012,1.3,1.45,1.6,1.725,2.075,2.65,3.85
11/20/2012,1.3,1.49,1.625,1.775,2.05,2.65,3.85
11/19/2012,1.3,1.49,1.6,1.725,2.075,2.65,3.85
11/16/2012,1.3,1.5,1.6,1.725,2.05,2.65,3.85
11/15/2012,1.3,1.5,1.625,1.775,2.075,2.65,3.85
11/14/2012,1.3,1.49,1.6,1.775,2.075,2.65,3.85
11/13/2012,1.3,1.49,1.6,1.8,2.075,2.65,3.85
11/12/2012,1.3,1.49,1.6,1.775,2.1,2.65,3.85
11/9/2012,1.25,1.45,1.625,1.775,2.075,2.65,3.85
11/8/2012,1.3,1.475,1.575,1.8,2.075,2.65,3.85
11/7/2012,1.3,1.475,1.575,1.8,2.1,2.65,3.85
11/6/2012,1.3,1.55,1.725,1.875,2.125,2.65,3.85
11/5/2012,1.325,1.55,1.725,1.875,2.125,2.65,3.85
11/2/2012,1.325,1.45,1.625,1.775,2.125,2.65,3.85
11/1/2012,1.325,1.45,1.625,1.775,2.125,2.65,3.85
10/31/2012,1.325,1.45,1.625,1.775,2.125,2.65,3.85
10/30/2012,1.325,1.45,1.625,1.775,2.125,2.65,3.85
10/29/2012,1.325,1.45,1.625,1.775,2.125,2.65,3.85
10/26/2012,1.275,1.5,1.7,1.9,2.15,2.7,3.85
10/25/2012,1.275,1.5,1.7,1.9,2.15,2.7,3.85
10/24/2012,1.275,1.5,1.7,1.9,2.15,2.7,3.85
10/23/2012,1.275,1.5,1.7,1.9,2.15,2.7,3.85
10/22/2012,1.275,1.4,1.75,1.9,2.15,2.7,3.85
10/19/2012,1.275,1.4,1.65,1.75,2.15,2.7,3.85
10/18/2012,1.275,1.45,1.65,1.75,2.15,2.7,3.85
10/17/2012,1.275,1.45,1.65,1.75,2.15,2.7,3.9
10/16/2012,1.6,1.725,1.9,2.025,2.3,3,3.95
10/15/2012,1.6,1.725,1.9,2.025,2.3,3,3.95
10/12/2012,1.6,1.725,1.9,2.025,2.3,3,3.95
10/11/2012,1.625,1.725,1.9,2.05,2.3,3,3.95
10/10/2012,1.65,1.725,1.9,2.05,2.3,3.425,4.15
10/9/2012,1.65,1.7,1.95,2.05,2.275,3.5,4.25
10/8/2012,1.7,1.9,2.05,2.15,2.375,3.5,4.25
10/5/2012,1.7,1.9,2.1,2.175,2.375,3.475,4.25
10/4/2012,1.7,1.9,2.1,2.175,2.375,3.475,4.25
10/3/2012,1.7,1.9,2.1,2.175,2.375,3.475,4.25
10/2/2012,1.7,1.9,2.1,2.175,2.375,3.475,4.25
10/1/2012,1.7,1.9,2.1,2.175,2.375,3.475,4.25
9/28/2012,1.7,1.9,2.1,2.175,2.375,3.475,4.25
9/27/2012,1.7,1.9,2.1,2.175,2.375,3.475,4.25
9/26/2012,1.7,1.9,2.1,2.175,2.375,3.475,4.25
9/25/2012,1.7,1.9,2.1,2.175,2.375,3.475,4.25
9/24/2012,1.7,1.9,2.1,2.175,2.375,3.475,4.25
9/21/2012,1.65,1.825,2.05,2.15,2.375,3.475,4.25
9/20/2012,1.65,1.825,2.05,2.15,2.375,3.475,4.25
9/19/2012,1.625,1.825,2.025,2.15,2.375,3.525,4.25
9/18/2012,1.55,1.85,2.125,2.175,2.45,3.625,4.25
9/17/2012,1.675,1.975,2.15,2.2,2.45,3.625,4.25
9/14/2012,1.725,2,2.15,2.2125,2.5,3.65,4.25
9/13/2012,1.95,2.075,2.2,2.275,2.5,3.65,4.25
9/12/2012,1.95,2.075,2.15,2.2375,2.5,3.65,4.25
9/11/2012,2.15,2.25,2.275,2.4,2.6625,3.725,4.35
9/10/2012,2.1,2.25,2.275,2.4,2.675,3.725,4.35
9/7/2012,2.125,2.25,2.275,2.375,2.65,3.725,4.35
9/6/2012,2.2,2.25,2.275,2.4,2.675,3.725,4.35
9/5/2012,2.15,2.25,2.275,2.4,2.675,3.725,4.35
9/4/2012,2.15,2.25,2.275,2.4,2.7,3.725,4.35
9/3/2012,2.2125,2.275,2.3,2.4,2.7,3.725,4.35
8/31/2012,2.15,2.25,2.275,2.425,2.7,3.725,4.35
8/30/2012,2.175,2.275,2.3,2.45,2.7,3.725,4.35
8/29/2012,2.2,2.275,2.3,2.45,2.675,3.725,4.35
8/28/2012,2.225,2.275,2.325,2.475,2.7155,3.725,4.35
8/27/2012,2.2,2.275,2.3,2.45,2.7,3.725,4.35
8/24/2012,2.2,2.275,2.3,2.45,2.7,3.725,4.35
8/23/2012,2.2,2.28,2.3,2.5,2.7,3.725,4.35
8/22/2012,2.225,2.275,2.3,2.5,2.7,3.725,4.35
8/21/2012,2.1375,2.275,2.325,2.475,2.675,3.725,4.35
8/20/2012,2.1375,2.275,2.325,2.475,2.675,3.725,4.35
8/17/2012,2.1375,2.275,2.325,2.475,2.675,3.725,4.35
8/16/2012,2.225,2.3,2.35,2.475,2.675,3.725,4.35
8/15/2012,2.15,2.2875,2.35,2.475,2.675,3.725,4.35
8/14/2012,2.05,2.25,2.3,2.475,2.675,3.725,4.35
8/13/2012,2.15,2.3,2.375,2.5,2.675,3.725,4.35
8/10/2012,2,2.25,2.3,2.475,2.65,3.7,4.325
8/9/2012,2.15,2.35,2.4,2.5,2.7125,3.725,4.375
8/8/2012,2.3,2.375,2.45,2.55,2.7165,3.725,4.375
8/7/2012,2.3,2.375,2.45,2.55,2.7125,3.725,4.375
8/6/2012,2.3,2.375,2.45,2.55,2.7125,3.725,4.375
8/3/2012,2.3,2.375,2.45,2.55,2.7125,3.725,4.375
8/2/2012,2.325,2.4,2.45,2.55,2.725,3.725,4.375
8/1/2012,2.325,2.4,2.45,2.5625,2.7375,3.725,4.375
7/31/2012,2.3,2.375,2.45,2.55,2.7125,3.725,4.375
