Index,Open,High,Low,Close,Volume,Adjusted
2010-08-06,130.41,130.48,128.76,130.14,6136200,120.82
2010-08-09,130.79,132.34,130.4,132,6131700,122.55
2010-08-10,131.18,132.49,130.77,131.84,5471700,122.4
2010-08-11,130.69,130.69,129.46,129.83,6316100,120.53
2010-08-12,127.69,128.78,127.52,128.3,5132200,119.11
2010-08-13,127.96,128.46,127.33,127.87,4669400,118.72
2010-08-16,127.47,128.23,126.96,127.77,4009200,118.62
2010-08-17,128.83,129.85,127.9,128.45,4298300,119.25
2010-08-18,128.87,130.2,127.8,129.39,4883200,120.13
2010-08-19,128.67,129.59,128.02,128.9,5402400,119.67
2010-08-20,128.72,128.98,126.96,127.5,6246300,118.37
2010-08-23,127.57,128.03,126.44,126.47,4034400,117.42
2010-08-24,125.21,126.02,124.57,124.9,5621200,115.96
2010-08-25,124.57,125.6,124,125.27,5235300,116.3
2010-08-26,125.78,125.78,122.78,122.78,7746600,113.99
2010-08-27,123.83,124.8,122.42,124.73,6214200,115.8
2010-08-30,125.08,125.27,123.4,123.4,3604000,114.57
2010-08-31,123.31,123.99,122.28,123.13,5624200,114.31
2010-09-01,125.31,126.31,124.52,125.77,5623100,116.77
2010-09-02,126.03,126.23,124.65,125.04,5103300,116.09
2010-09-03,126.22,127.6,125.9,127.58,5142900,118.45
2010-09-07,126.99,127.36,125.88,125.95,4353300,116.93
2010-09-08,126.02,126.52,125.39,126.08,4477500,117.05
2010-09-09,127.27,127.57,126.15,126.36,3436700,117.31
2010-09-10,126.99,128.29,126.26,127.99,4418700,118.83
2010-09-13,128.63,130,128.52,129.61,5271300,120.33
2010-09-14,128.43,129.92,128.43,128.85,4850500,119.62
2010-09-15,128.65,129.96,128.54,129.43,4762500,120.16
2010-09-16,129.2,129.95,128.8,129.67,4685000,120.39
2010-09-17,129.92,130.6,129.7,130.19,10397400,120.87
2010-09-20,130.24,132.09,130.11,131.79,7145500,122.35
2010-09-21,131.45,132.8,130.78,131.98,5267900,122.53
2010-09-22,131.61,132.58,131.4,132.57,4922400,123.08
2010-09-23,131.42,132.78,131.22,131.67,3898800,122.24
2010-09-24,132.42,134.15,132.34,134.11,7122400,124.51
2010-09-27,133.51,135,133.51,134.65,6155400,125.01
2010-09-28,134.67,135.14,133.71,134.89,7481300,125.23
2010-09-29,134.4,135.8,134.34,135.48,5151200,125.78
2010-09-30,135.5,136.11,133.67,134.14,6425800,124.54
2010-10-01,135.51,136.28,135.09,135.64,5621200,125.93
2010-10-04,135.23,135.92,134.39,135.25,4059900,125.57
2010-10-05,136.18,137.9,136.12,137.66,6202500,127.8
2010-10-06,136.88,137.96,136.83,137.84,4783000,127.97
2010-10-07,137.92,138.88,137.52,138.72,6440800,128.79
2010-10-08,138.4,139.09,138.06,138.85,4540800,128.91
2010-10-11,138.79,139.94,138.64,139.66,4004300,129.66
2010-10-12,138.4,139.99,138.27,139.85,5637300,129.84
2010-10-13,139.91,141.48,139.78,140.37,8784300,130.32
2010-10-14,140.35,141.5,139.69,141.5,5653100,131.37
2010-10-15,142.1,142.1,140.54,141.06,7220400,130.96
2010-10-18,140.9,143.03,140.84,142.83,10322700,132.6
2010-10-19,137.3,139.34,136.7,138.03,14159100,128.15
2010-10-20,138.28,139.87,138.13,139.07,6945500,129.11
2010-10-21,139.81,140.49,138.4,139.83,6221200,129.82
2010-10-22,140.15,140.75,139.46,139.67,4105300,129.67
2010-10-25,140.42,141.4,139.81,139.84,4870000,129.83
2010-10-26,139.29,142,138.53,140.67,7327100,130.6
2010-10-27,139.52,141.57,139,141.43,6465300,131.3
2010-10-28,141.84,141.95,140.42,140.9,5481600,130.81
2010-10-29,140.9,144,140.75,143.6,8439300,133.32
2010-11-01,143.64,144.26,142.32,143.32,5674600,133.06
2010-11-02,143.85,144.71,143.71,143.84,4626400,133.54
2010-11-03,144.24,144.46,142.63,144.17,5182100,133.85
2010-11-04,144.82,146.84,144.71,146.79,6622500,136.28
2010-11-05,145.94,146.93,145.67,146.92,4995800,136.4
2010-11-08,145.35,146.58,145.25,146.46,4459700,136.58
2010-11-09,146.7,147.53,145.63,146.14,5700600,136.28
2010-11-10,146.09,146.79,145.63,146.55,5172000,136.66
2010-11-11,144.7,145.5,143.35,145.43,4752200,135.62
