Date,6M ,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
9/28/2012,3.19,3.18,3.16,3.135,3.175,3.255,3.33,3.485,3.655
9/27/2012,3.185,3.17,3.16,3.135,3.185,3.25,3.325,3.475,3.65
9/26/2012,3.185,3.17,3.155,3.13,3.165,3.235,3.3,3.455,3.62
9/25/2012,3.185,3.175,3.155,3.13,3.17,3.24,3.315,3.485,3.645
9/24/2012,3.18,3.18,3.16,3.125,3.175,3.235,3.31,3.485,3.645
9/21/2012,3.17,3.165,3.165,3.15,3.205,3.275,3.37,3.535,3.7
9/20/2012,3.17,3.16,3.15,3.14,3.19,3.26,3.34,3.485,3.645
9/19/2012,3.19,3.175,3.155,3.14,3.2,3.27,3.37,3.525,3.69
9/18/2012,3.19,3.175,3.15,3.145,3.19,3.27,3.35,3.505,3.67
9/17/2012,3.19,3.175,3.165,3.175,3.235,3.305,3.415,3.57,3.73
9/14/2012,3.19,3.175,3.1649,3.175,3.2351,3.3051,3.4102,3.5703,3.7303
9/13/2012,3.19,3.175,3.145,3.135,3.175,3.24,3.31,3.46,3.625
9/12/2012,3.19,3.175,3.15,3.14,3.19,3.26,3.34,3.495,3.655
9/11/2012,3.18,3.165,3.14,3.115,3.15,3.215,3.285,3.43,3.595
9/10/2012,3.17,3.155,3.13,3.1,3.14,3.21,3.275,3.43,3.59
9/7/2012,3.17,3.155,3.1348,3.11,3.15,3.215,3.2901,3.4401,3.6002
9/6/2012,3.155,3.135,3.105,3.065,3.105,3.16,3.225,3.38,3.53
9/5/2012,3.155,3.135,3.09,3.04,3.085,3.135,3.19,3.34,3.49
9/4/2012,3.145,3.125,3.095,3.06,3.095,3.145,3.195,3.355,3.51
9/3/2012,3.15,3.13,3.095,3.045,3.075,3.135,3.19,3.33,3.49
8/31/2012,3.15,3.13,3.0947,3.06,3.0999,3.155,3.215,3.3601,3.5151
8/30/2012,3.15,3.13,3.0952,3.06,3.1001,3.155,3.215,3.36,3.515
8/29/2012,3.15,3.115,3.095,3.06,3.1,3.15,3.205,3.35,3.5
8/28/2012,3.15,3.115,3.08,3.04,3.08,3.13,3.18,3.33,3.475
8/27/2012,3.155,3.125,3.09,3.055,3.09,3.145,3.205,3.355,3.505
8/24/2012,3.155,3.125,3.0847,3.045,3.0849,3.15,3.195,3.3451,3.4951
8/23/2012,3.155,3.125,3.09,3.05,3.095,3.155,3.2,3.34,3.505
8/22/2012,3.155,3.125,3.1,3.065,3.115,3.18,3.235,3.38,3.54
8/21/2012,3.155,3.125,3.095,3.06,3.095,3.16,3.23,3.38,3.53
8/20/2012,3.155,3.125,3.0949,3.06,3.095,3.16,3.23,3.3801,3.5301
8/17/2012,3.155,3.125,3.0944,3.06,3.0948,3.16,3.2301,3.3802,3.5302
8/16/2012,3.155,3.115,3.1,3.06,3.095,3.175,3.24,3.37,3.53
8/15/2012,3.16,3.115,3.08,3.05,3.085,3.155,3.225,3.375,3.525
8/14/2012,3.155,3.09,3.045,3,3.035,3.075,3.14,3.285,3.425
8/13/2012,3.145,3.075,3.025,2.9575,2.99,3.035,3.1,3.235,3.375
8/10/2012,3.145,3.075,3.0245,2.9572,2.9848,3.0299,3.09,3.22,3.3651
8/9/2012,3.155,3.08,3.035,2.9675,3.01,3.065,3.125,3.26,3.405
8/8/2012,3.15,3.075,3.025,2.9625,2.995,3.05,3.12,3.255,3.4
8/7/2012,3.155,3.075,3.025,2.9575,2.99,3.045,3.115,3.255,3.395
8/6/2012,3.16,3.055,3,2.95,2.975,3.03,3.095,3.24,3.375
8/3/2012,3.155,3.04,2.9744,2.9372,2.9448,3.0049,3.0549,3.195,3.3251
8/2/2012,3.155,3.065,2.995,2.95,2.975,3.025,3.095,3.24,3.375
8/1/2012,3.145,3.06,2.995,2.945,2.97,3.025,3.08,3.23,3.365
7/31/2012,3.145,3.065,3,2.9475,2.98,3.03,3.08,3.22,3.36
7/30/2012,3.145,3.075,2.995,2.945,2.97,3.025,3.09,3.22,3.355
7/27/2012,3.145,3.04,2.9794,2.9196,2.9298,2.9899,3.0499,3.175,3.3051
7/26/2012,3.135,3.025,2.935,2.865,2.89,2.93,2.98,3.1,3.23
7/25/2012,3.14,3.025,2.94,2.875,2.89,2.93,2.995,3.12,3.24
7/24/2012,3.125,3.025,2.93,2.86,2.88,2.915,2.98,3.1,3.24
7/23/2012,3.125,3.035,2.93,2.845,2.87,2.92,2.945,3.075,3.2
7/20/2012,3.1,3.05,2.9794,2.9246,2.9448,3.0049,3.0599,3.2,3.3301
7/19/2012,3.115,3.055,2.975,2.935,2.97,3.03,3.085,3.23,3.355
7/18/2012,3.125,3.05,2.965,2.92,2.95,3,3.06,3.205,3.345
