Index,Indicator,Up,Down,Forecasts,ar,ma,p,q
1952-11-03,1,1,0,0.00297200326620486,5,1,1,1
1952-11-05,-1,0,-1,-0.000941309240095032,4,1,1,1
1952-11-06,1,1,0,0.000230267939198922,3,1,1,1
1952-11-07,1,1,0,0.000631962676913505,5,2,1,1
1952-11-10,1,1,0,0.000625821100968584,4,2,1,1
1952-11-12,1,1,0,9.95194758467115e-05,4,2,1,1
1952-11-13,-1,0,-1,-0.000509597731563048,2,5,1,1
1952-11-14,1,1,0,0.000870665723051737,5,2,1,1
1952-11-17,1,1,0,0.000668321837127695,5,2,1,1
1952-11-18,1,1,0,0.000706180661490093,2,4,1,1
1952-11-19,1,1,0,0.0025114985576541,2,4,1,1
1952-11-20,-1,0,-1,-8.67470022607143e-05,2,4,1,1
1952-11-21,-1,0,-1,-0.000117254998820869,3,4,1,1
1952-11-24,-1,0,-1,-0.000349237114370715,5,4,1,1
1952-11-25,1,1,0,0.00160474687209944,2,4,1,1
1952-11-26,-1,0,-1,-0.000691968604484312,2,3,1,1
1952-11-28,1,1,0,0.00193372854997138,1,5,1,1
1952-12-01,1,1,0,0.000754580349591154,3,5,1,1
1952-12-02,1,1,0,0.000140307373037982,5,0,1,1
1952-12-03,1,1,0,0.000852807870048976,4,0,1,1
1952-12-04,1,1,0,1.55776221774126e-05,3,0,1,1
1952-12-05,-1,0,-1,-5.12140784457285e-05,2,0,1,1
1952-12-08,1,1,0,0.000973527522699371,0,5,1,1
1952-12-09,1,1,0,0.00146987451309483,5,0,1,1
1952-12-10,1,1,0,0.000499355716412341,5,4,1,1
1952-12-11,-1,0,-1,-8.13668285435597e-05,5,2,1,1
1952-12-12,1,1,0,0.00081233958114684,5,1,1,1
1952-12-15,1,1,0,0.00137216395831659,5,0,1,1
1952-12-16,1,1,0,0.000783464219829836,5,2,1,1
1952-12-17,1,1,0,0.00029746924906055,2,5,1,1
1952-12-18,1,1,0,0.000168038690282889,2,0,1,1
1952-12-19,1,1,0,0.000218174451227395,3,1,1,1
1952-12-22,1,1,0,0.00184510606555114,4,1,1,1
1952-12-23,1,1,0,0.0010560284074408,5,0,1,1
1952-12-24,-1,0,-1,-0.000741931738285752,5,1,1,1
1952-12-26,1,1,0,0.00173200931203342,3,5,1,1
1952-12-29,1,1,0,0.000968228656231997,5,1,1,1
1952-12-30,1,1,0,0.00148631068478865,1,4,1,1
1952-12-31,1,1,0,0.00103081452255408,0,5,1,1
1953-01-02,-1,0,-1,-0.000862266301154815,2,5,1,1
1953-01-05,1,1,0,0.000230755962342774,2,5,1,1
1953-01-06,1,1,0,0.00170088257173036,5,1,1,1
1953-01-07,-1,0,-1,-0.00178438194084366,1,5,1,1
1953-01-08,1,1,0,0.000339059510120987,3,5,1,1
1953-01-09,1,1,0,0.000109881619177595,3,4,1,1
1953-01-12,-1,0,-1,-0.000885484704405673,2,5,1,1
1953-01-13,-1,0,-1,-0.000143236022668667,4,5,1,1
1953-01-14,1,1,0,0.00232596973555785,5,2,1,1
1953-01-15,-1,0,-1,-0.000264242005209768,5,3,1,1
1953-01-16,1,1,0,0.00121969246709196,2,5,1,1
1953-01-19,-1,0,-1,-0.000247792629906385,2,4,1,1
1953-01-20,1,1,0,0.000956864857105846,2,0,1,1
1953-01-21,1,1,0,0.000643940142269029,2,5,1,1
1953-01-22,-1,0,-1,-0.000537157605511607,2,4,1,1
1953-01-23,1,1,0,0.000966611576451993,2,4,1,1
1953-01-26,1,1,0,0.000431530422980342,4,5,1,1
1953-01-27,-1,0,-1,-0.000143627612860451,5,1,1,1
1953-01-28,1,1,0,0.000501353368859554,2,5,1,1
1953-01-29,-1,0,-1,-7.99142951871214e-05,2,4,1,1
1953-01-30,1,1,0,0.000344263704850622,2,5,1,1
1953-02-02,1,1,0,0.00155838115127062,2,5,1,1
1953-02-03,1,1,0,0.000455777334287869,2,4,1,1
1953-02-04,-1,0,-1,-0.000221853883227986,2,4,1,1
1953-02-05,-1,0,-1,-0.00099591414360807,2,4,1,1
1953-02-06,-1,0,-1,-0.00167132564977853,5,1,1,1
1953-02-09,1,1,0,0.0045793495810791,2,4,1,1
1953-02-10,-1,0,-1,-0.00757726879402867,2,0,1,1
1953-02-11,1,1,0,0.00401465394121987,2,0,1,1
1953-02-13,1,1,0,0.000340436144789034,1,4,1,1
1953-02-16,1,1,0,0.00254522326814837,5,3,1,1
1953-02-17,1,1,0,0.000860805958386463,4,4,1,1
1953-02-18,-1,0,-1,-0.00026061052639853,2,5,1,1
1953-02-19,1,1,0,0.000449922162886783,3,3,1,1
1953-02-20,1,1,0,0.00118975201154291,2,0,1,1
1953-02-24,1,1,0,0.000572947254622926,2,5,1,1
1953-02-25,1,1,0,0.00159175915052849,2,5,1,1
1953-02-26,1,1,0,0.0011006346433715,3,3,1,1
1953-02-27,-1,0,-1,-0.00014913543026748,2,3,1,1
1953-03-02,-1,0,-1,-0.000133514858899025,2,0,1,1
1953-03-03,1,1,0,0.00130174476579957,2,4,1,1
1953-03-04,1,1,0,0.00242775608057128,3,3,1,1
1953-03-05,-1,0,-1,-0.00171323498782994,2,3,1,1
1953-03-06,1,1,0,0.00161709314287563,2,0,1,1
1953-03-09,1,1,0,0.000743697766888513,2,5,1,1
1953-03-10,1,1,0,0.000475723583580514,3,5,1,1
1953-03-11,1,1,0,0.000883375435819677,2,5,1,1
1953-03-12,1,1,0,0.00159356356560117,4,2,1,1
1953-03-13,-1,0,-1,-0.000405869280965967,0,5,1,1
1953-03-16,1,1,0,0.000881890285025424,5,0,1,1
1953-03-17,1,1,0,0.000606898840802461,5,2,1,1
1953-03-18,1,1,0,0.00103607979524003,4,2,1,1
1953-03-19,-1,0,-1,-0.00179917428389498,4,3,1,1
1953-03-20,1,1,0,0.000856195366243637,0,5,1,1
1953-03-23,1,1,0,0.000156336522853811,2,4,1,1
1953-03-24,-1,0,-1,-0.000260584958174195,5,2,1,1
1953-03-25,1,1,0,0.00237627886564724,4,2,1,1
1953-03-26,-1,0,-1,-0.000788325314178195,4,2,1,1
1953-03-27,-1,0,-1,-0.000147668543929794,2,5,1,1
1953-03-30,1,1,0,0.000444248132897121,5,3,1,1
1953-03-31,-1,0,-1,-0.00244264486312111,2,4,1,1
1953-04-01,-1,0,-1,-0.000110758166642251,5,0,1,1
1953-04-02,1,1,0,0.00114670406181064,4,0,1,1
1953-04-06,-1,0,-1,-0.000647558030317017,4,1,1,1
1953-04-07,-1,0,-1,-0.00447619499923469,0,2,1,1
1953-04-08,1,1,0,0.00368392851329811,0,2,1,1
1953-04-09,1,1,0,0.00225475781445276,3,1,1,1
1953-04-10,-1,0,-1,-2.62819099625219e-05,0,5,1,1
1953-04-13,1,1,0,0.000114172455223177,0,4,1,1
1953-04-14,1,1,0,0.000101632862594197,0,3,1,1
1953-04-15,1,1,0,0.00281572782326334,4,4,1,1
1953-04-16,1,1,0,0.000672225025783706,0,2,1,1
1953-04-17,-1,0,-1,-0.000321199120076565,0,2,1,1
1953-04-20,-1,0,-1,-0.00164191223187397,0,2,1,1
1953-04-21,1,1,0,0.00235350975999699,0,2,1,1
1953-04-22,-1,0,-1,-0.000907120566570046,0,2,1,1
1953-04-23,-1,0,-1,-0.000674248870204756,5,1,1,1
1953-04-24,-1,0,-1,-0.00111283490147492,2,5,1,1
1953-04-27,1,1,0,0.00158118548453504,0,4,1,1
1953-04-28,-1,0,-1,-0.000474002264164019,5,2,1,1
1953-04-29,1,1,0,0.00231290989934501,4,2,1,1
1953-04-30,1,1,0,0.000875172050292372,0,2,1,1
1953-05-01,-1,0,-1,-0.000558990884445505,2,4,1,1
1953-05-04,1,1,0,0.000314110915140591,2,5,1,1
1953-05-05,1,1,0,0.00017466005148211,5,2,1,1
1953-05-06,-1,0,-1,-0.000768483425131707,4,1,1,1
1953-05-07,1,1,0,0.000315135616112922,3,1,1,1
1953-05-08,-1,0,-1,-0.00116716963284185,3,4,1,1
1953-05-11,1,1,0,0.000763784077338669,1,4,1,1
1953-05-12,1,1,0,0.000783022076698012,5,5,1,1
1953-05-13,1,1,0,0.000259673247252555,5,1,1,1
1953-05-14,1,1,0,0.000891697623161199,4,2,1,1
1953-05-15,1,1,0,0.00162979587962927,2,5,1,1
1953-05-18,-1,0,-1,-0.0011021702067261,5,1,1,1
1953-05-19,1,1,0,0.000935535514592294,4,1,1,1
1953-05-20,1,1,0,0.000495163386476546,5,3,1,1
1953-05-21,1,1,0,0.00295327390747195,4,3,1,1
1953-05-22,1,1,0,0.000291280689299721,3,3,1,1
1953-05-25,-1,0,-1,-0.000482513768964616,3,3,1,1
1953-05-26,1,1,0,0.000557723272969668,4,2,1,1
1953-05-27,-1,0,-1,-0.000322110665666453,4,3,1,1
1953-05-28,-1,0,-1,-0.00192389858785635,5,2,1,1
1953-05-29,-1,0,-1,-0.000468288663219571,5,2,1,1
1953-06-01,1,1,0,0.00184949717915233,5,1,1,1
1953-06-02,-1,0,-1,-0.00414318229223346,3,5,1,1
1953-06-03,1,1,0,0.00236836053707631,4,3,1,1
1953-06-04,-1,0,-1,-0.000479987674693609,2,3,1,1
1953-06-05,-1,0,-1,-0.000421239700629364,2,3,1,1
1953-06-08,1,1,0,0.00116670617279961,5,2,1,1
1953-06-09,-1,0,-1,-0.000615949424691402,5,3,1,1
1953-06-10,-1,0,-1,-0.00264101210277359,5,3,1,1
1953-06-11,1,1,0,0.00129008640967246,5,3,1,1
1953-06-12,1,1,0,0.00139454178915762,5,2,1,1
1953-06-15,-1,0,-1,-0.000417650858018361,3,0,1,1
1953-06-16,-1,0,-1,-0.0008186875697435,3,5,1,1
1953-06-17,1,1,0,0.00173784740299185,4,4,1,1
1953-06-18,1,1,0,0.00294494233960049,5,0,1,1
1953-06-19,-1,0,-1,-0.00157489895801805,5,0,1,1
1953-06-22,-1,0,-1,-0.000752415711765914,5,3,1,1
1953-06-23,1,1,0,0.000760599204141533,3,5,1,1
1953-06-24,1,1,0,0.00145706377306013,2,4,1,1
1953-06-25,-1,0,-1,-0.000655273342366346,5,1,1,1
1953-06-26,1,1,0,0.00294416559349735,5,5,1,1
1953-06-29,-1,0,-1,-0.000394004735531568,1,3,1,1
1953-06-30,1,1,0,5.41785145018985e-05,5,3,1,1
1953-07-01,1,1,0,0.000534529068470098,3,4,1,1
1953-07-02,1,1,0,0.000909058547286546,0,3,1,1
1953-07-03,1,1,0,0.00022000955134132,0,2,1,1
1953-07-06,1,1,0,0.000452059984564373,3,1,1,1
1953-07-07,1,1,0,0.000249621875296801,5,4,1,1
1953-07-08,1,1,0,0.00115217124411514,5,4,1,1
1953-07-09,-1,0,-1,-0.000521521145533198,1,5,1,1
1953-07-10,1,1,0,7.80995467962833e-05,0,5,1,1
1953-07-13,1,1,0,0.000505048433432089,0,4,1,1
1953-07-14,-1,0,-1,-0.00162331189645718,0,3,1,1
1953-07-15,1,1,0,0.000664400269986903,3,3,1,1
1953-07-16,1,1,0,0.000332196509304242,3,3,1,1
1953-07-17,-1,0,-1,-0.000160642739038279,5,1,1,1
1953-07-20,1,1,0,0.00163377139729895,1,4,1,1
1953-07-21,-1,0,-1,-0.00210115528478635,1,3,1,1
1953-07-22,1,1,0,0.00102805384786025,0,4,1,1
1953-07-23,1,1,0,0.00244306725756085,3,5,1,1
1953-07-24,1,1,0,0.000529467309574432,5,2,1,1
1953-07-27,-1,0,-1,-0.000408181201266745,5,3,1,1
1953-07-28,-1,0,-1,-0.00113133371463555,0,5,1,1
1953-07-29,1,1,0,0.00169280001637961,0,4,1,1
1953-07-30,1,1,0,0.000853526632154755,0,3,1,1
1953-07-31,1,1,0,0.00160877131456901,3,4,1,1
1953-08-03,1,1,0,0.000931671786668132,3,0,1,1
1953-08-04,-1,0,-1,-0.000381114293435121,0,2,1,1
1953-08-05,-1,0,-1,-0.00056675999130141,3,0,1,1
1953-08-06,-1,0,-1,-0.000291802821359636,0,2,1,1
1953-08-07,1,1,0,0.00197781947383687,2,5,1,1
1953-08-10,-1,0,-1,-0.000705365049508528,2,4,1,1
1953-08-11,1,1,0,0.000279316430514873,5,3,1,1
1953-08-12,-1,0,-1,-0.000114127591077257,0,2,1,1
1953-08-13,1,1,0,0.000948713211095391,2,4,1,1
1953-08-14,-1,0,-1,-0.000513546481915197,2,4,1,1
1953-08-17,-1,0,-1,-0.000148854007404481,2,4,1,1
1953-08-18,1,1,0,0.000352361636711425,5,0,1,1
1953-08-19,-1,0,-1,-0.000493752947264898,0,4,1,1
1953-08-20,-1,0,-1,-0.000593613792669128,3,0,1,1
1953-08-21,1,1,0,0.000764527434474977,0,2,1,1
1953-08-24,1,1,0,0.000557420314812369,0,2,1,1
1953-08-25,-1,0,-1,-0.00276766676129327,5,0,1,1
1953-08-26,1,1,0,0.000650615372343796,4,0,1,1
1953-08-27,1,1,0,9.45364948969012e-05,3,0,1,1
1953-08-28,-1,0,-1,-0.000122151004927329,0,2,1,1
1953-08-31,-1,0,-1,-0.000754110682704749,4,3,1,1
1953-09-01,-1,0,-1,-0.00376019937700663,3,0,1,1
