Date,10D,30D,60D,90D,120D,150D,180D
2/24/2010,0.3736,0.3943,0.4379,0.4804,0.515,0.5631,0.6085
2/23/2010,0.3779,0.4011,0.4436,0.4871,0.5242,0.5685,0.6177
2/22/2010,0.3736,0.3943,0.4379,0.4804,0.515,0.5631,0.6085
2/20/2010,0.3853,0.4073,0.4513,0.4977,0.5318,0.5782,0.625
2/19/2010,0.3853,0.4073,0.4513,0.4977,0.5318,0.5782,0.625
2/18/2010,0.3853,0.4073,0.4513,0.4977,0.5318,0.5782,0.625
2/17/2010,0.3853,0.4073,0.4513,0.4977,0.5318,0.5782,0.625
2/16/2010,0.3853,0.4073,0.4513,0.4977,0.5318,0.5782,0.625
2/15/2010,0.3853,0.4073,0.4513,0.4977,0.5318,0.5782,0.625
2/13/2010,0.3853,0.4073,0.4513,0.4977,0.5318,0.5782,0.625
2/12/2010,0.3853,0.4073,0.4513,0.4977,0.5318,0.5782,0.625
2/11/2010,0.3853,0.4073,0.453,0.4977,0.5318,0.5782,0.625
2/10/2010,0.3867,0.409,0.4573,0.5003,0.5364,0.5721,0.6121
2/9/2010,0.3875,0.4114,0.4596,0.4996,0.5385,0.5685,0.6142
2/8/2010,0.387,0.4093,0.4577,0.4983,0.5343,0.5693,0.6118
2/6/2010,0.387,0.4093,0.4577,0.4983,0.5343,0.5693,0.6118
2/5/2010,0.387,0.4093,0.4577,0.4983,0.5343,0.5693,0.6118
2/4/2010,0.3823,0.4069,0.4569,0.495,0.5304,0.5575,0.6004
2/3/2010,0.3897,0.411,0.461,0.5023,0.5386,0.5725,0.6146
2/2/2010,0.3897,0.411,0.461,0.5023,0.5386,0.5725,0.6146
2/1/2010,0.39,0.4113,0.4613,0.503,0.5386,0.5725,0.6146
1/30/2010,0.39,0.4113,0.4613,0.503,0.5386,0.5725,0.6146
1/29/2010,0.39,0.4113,0.4613,0.503,0.5386,0.5725,0.6146
1/28/2010,0.39,0.4113,0.4613,0.503,0.5386,0.5725,0.6146
1/27/2010,0.3923,0.4053,0.4557,0.498,0.5375,0.5704,0.6157
1/26/2010,0.3864,0.3996,0.4507,0.4925,0.5308,0.5642,0.6092
1/25/2010,0.3923,0.4053,0.4557,0.498,0.5375,0.5704,0.6157
1/23/2010,0.3864,0.3996,0.4507,0.4925,0.5308,0.5642,0.6092
1/22/2010,0.3864,0.3996,0.4507,0.4925,0.5308,0.5642,0.6092
1/21/2010,0.3923,0.4053,0.4557,0.498,0.5375,0.5704,0.6157
1/20/2010,0.3923,0.4053,0.4557,0.498,0.5375,0.5704,0.6157
1/19/2010,0.392,0.405,0.4557,0.498,0.5393,0.5721,0.6175
1/18/2010,0.3893,0.4032,0.4539,0.4957,0.54,0.5677,0.6165
1/16/2010,0.3887,0.4017,0.4523,0.4947,0.5357,0.5686,0.6139
1/15/2010,0.3887,0.4017,0.4523,0.4947,0.5357,0.5686,0.6139
1/14/2010,0.3893,0.4032,0.4539,0.4957,0.54,0.5677,0.6165
1/13/2010,0.3893,0.4032,0.4539,0.4957,0.54,0.5677,0.6165
1/12/2010,0.389,0.4017,0.4523,0.4947,0.5357,0.5686,0.6139
1/11/2010,0.3883,0.401,0.4523,0.4947,0.5357,0.5686,0.6139
1/9/2010,0.3883,0.401,0.4523,0.493,0.5339,0.5668,0.6121
1/8/2010,0.3883,0.401,0.4523,0.493,0.5339,0.5668,0.6121
1/7/2010,0.3883,0.401,0.4523,0.493,0.5339,0.5668,0.6121
1/6/2010,0.3883,0.401,0.4523,0.493,0.5339,0.5668,0.6121
1/5/2010,0.3883,0.401,0.4523,0.493,0.5339,0.5668,0.6121
1/4/2010,0.3883,0.401,0.4523,0.493,0.5339,0.5668,0.6121
1/2/2010,0.3889,0.4025,0.4539,0.4939,0.5381,0.5658,0.6146
1/1/2010,0.3889,0.4025,0.4539,0.4939,0.5381,0.5658,0.6146
12/31/2009,0.3889,0.4025,0.4539,0.4939,0.5381,0.5658,0.6146
12/30/2009,0.3883,0.401,0.4523,0.493,0.5339,0.5668,0.6121
12/29/2009,0.387,0.4,0.4517,0.493,0.5339,0.5668,0.6121
12/28/2009,0.3847,0.3997,0.4493,0.492,0.5325,0.565,0.61
12/26/2009,0.3843,0.4004,0.4504,0.4929,0.5365,0.5638,0.6123
12/25/2009,0.3843,0.4004,0.4504,0.4929,0.5365,0.5638,0.6123
12/24/2009,0.3843,0.4004,0.4504,0.4929,0.5365,0.5638,0.6123
12/23/2009,0.3782,0.3954,0.4471,0.4879,0.5312,0.5612,0.6104
12/22/2009,0.3779,0.395,0.4468,0.4879,0.5312,0.5612,0.6104
12/21/2009,0.38,0.3985,0.4504,0.4908,0.5337,0.5579,0.6071
12/19/2009,0.378,0.394,0.4457,0.4873,0.5275,0.5625,0.6082
12/18/2009,0.378,0.394,0.4457,0.4873,0.5275,0.5625,0.6082
12/17/2009,0.375,0.3893,0.4414,0.4804,0.5219,0.5596,0.605
12/16/2009,0.3761,0.3932,0.4443,0.4854,0.5292,0.5592,0.6085
12/15/2009,0.3763,0.3923,0.4433,0.485,0.5257,0.5607,0.6064
12/14/2009,0.3763,0.3923,0.4433,0.485,0.5257,0.5607,0.6064
12/12/2009,0.3761,0.3932,0.4443,0.4854,0.5292,0.5592,0.6085
12/11/2009,0.3761,0.3932,0.4443,0.4854,0.5292,0.5592,0.6085
12/10/2009,0.3763,0.3923,0.4433,0.485,0.5257,0.5607,0.6064
12/9/2009,0.376,0.392,0.443,0.485,0.5257,0.5607,0.6064
12/8/2009,0.3793,0.3953,0.4463,0.49,0.5329,0.5679,0.6118
12/7/2009,0.3793,0.3953,0.4463,0.49,0.5329,0.5679,0.6118
12/5/2009,0.3757,0.3917,0.4427,0.485,0.5257,0.5582,0.6011
12/4/2009,0.3757,0.3917,0.4427,0.485,0.5257,0.5582,0.6011
12/3/2009,0.3757,0.3917,0.4427,0.485,0.5257,0.5582,0.6011
12/2/2009,0.3754,0.3925,0.4436,0.4854,0.5292,0.5565,0.6027
12/1/2009,0.3753,0.3913,0.442,0.485,0.5257,0.5582,0.6011
11/30/2009,0.3753,0.3913,0.442,0.485,0.5257,0.5582,0.6011
11/28/2009,0.375,0.3921,0.4421,0.4846,0.5285,0.5558,0.6019
11/27/2009,0.375,0.3921,0.4421,0.4846,0.5285,0.5558,0.6019
11/26/2009,0.375,0.3921,0.4421,0.4846,0.5285,0.5558,0.6019
11/25/2009,0.3753,0.3913,0.4413,0.4843,0.525,0.5575,0.6004
11/24/2009,0.3703,0.3863,0.4383,0.4827,0.5161,0.5539,0.5932
11/23/2009,0.3703,0.3863,0.4383,0.4827,0.5161,0.5539,0.5932
11/21/2009,0.3703,0.3863,0.4383,0.4827,0.5161,0.5539,0.5932
11/20/2009,0.3703,0.3863,0.4383,0.4827,0.5161,0.5539,0.5932
11/19/2009,0.3703,0.3863,0.4383,0.4827,0.5161,0.5539,0.5932
11/18/2009,0.3703,0.3863,0.4383,0.4827,0.5161,0.5539,0.5932
11/17/2009,0.3754,0.3907,0.4429,0.4868,0.5231,0.56,0.6023
11/16/2009,0.3696,0.3868,0.4389,0.4829,0.5188,0.5519,0.5942
11/14/2009,0.37,0.386,0.4383,0.4827,0.5161,0.5504,0.5932
11/13/2009,0.37,0.386,0.4383,0.4827,0.5161,0.5504,0.5932
