Date,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y
9/25/2013,0.95,1.005,1.108,1.223,1.323,1.508,1.705,1.838,2.275
9/24/2013,0.94,1.01,1.125,1.233,1.335,1.51,1.708,1.84,2.275
9/23/2013,0.94,1.01,1.15,1.235,1.335,1.51,1.718,1.868,1.973
9/20/2013,0.94,1.033,1.16,1.268,1.37,1.558,1.76,1.913,2.275
9/19/2013,0.94,1.033,1.16,1.268,1.37,1.558,1.76,1.875,2.275
9/18/2013,0.94,1.033,1.16,1.268,1.37,1.558,1.76,1.913,2.275
9/17/2013,0.94,1.038,1.163,1.27,1.38,1.563,1.765,1.918,2.275
9/16/2013,0.945,1.058,1.19,1.305,1.415,1.595,1.805,1.94,2.275
9/13/2013,0.945,1.07,1.225,1.35,1.47,1.645,1.863,2.005,2.275
9/12/2013,0.945,1.068,1.225,1.35,1.46,1.645,1.863,1.978,2.275
9/11/2013,0.945,1.07,1.223,1.355,1.47,1.66,1.868,1.993,2.275
9/10/2013,0.953,1.095,1.248,1.383,1.498,1.693,1.903,2.023,2.275
9/9/2013,0.953,1.093,1.24,1.373,1.493,1.693,1.903,2.005,2.275
9/6/2013,0.955,1.095,1.26,1.388,1.508,1.713,1.925,1.993,2.275
9/5/2013,0.955,1.09,1.24,1.365,1.485,1.68,1.895,2.01,2.2
9/4/2013,0.948,1.078,1.218,1.343,1.465,1.655,1.865,1.99,2.2
9/3/2013,0.948,1.075,1.218,1.34,1.46,1.655,1.865,1.99,2.2
9/2/2013,0.95,1.075,1.213,1.34,1.465,1.655,1.865,1.983,2.2
8/30/2013,0.95,1.065,1.2,1.325,1.443,1.628,1.83,1.963,2.2
8/29/2013,0.94,1.065,1.208,1.338,1.455,1.623,1.855,1.975,2.085
8/28/2013,0.94,1.065,1.21,1.335,1.46,1.645,1.855,2,2.2
8/27/2013,0.94,1.065,1.193,1.318,1.435,1.62,1.833,1.95,2.2
8/26/2013,0.94,1.06,1.195,1.323,1.44,1.63,1.84,1.958,2.2
8/23/2013,0.95,1.065,1.2,1.33,1.448,1.64,1.853,1.918,2.2
8/22/2013,0.948,1.06,1.21,1.345,1.465,1.658,1.873,2.01,2.2
8/21/2013,0.94,1.045,1.185,1.325,1.44,1.625,1.835,1.918,2.2
8/20/2013,0.945,1.053,1.185,1.318,1.443,1.63,1.838,1.98,2.2
8/19/2013,0.94,1.045,1.203,1.348,1.47,1.665,1.875,1.91,2.2
8/16/2013,0.94,1.045,1.19,1.33,1.46,1.645,1.845,1.898,2.2
8/15/2013,0.94,1.04,1.18,1.32,1.44,1.625,1.825,1.893,2.2
8/14/2013,0.94,1.045,1.19,1.32,1.445,1.63,1.835,1.96,2.2
8/13/2013,0.945,1.035,1.165,1.31,1.43,1.605,1.81,1.968,2.15
8/12/2013,0.935,1.035,1.15,1.28,1.41,1.575,1.77,1.9,2.15
8/9/2013,0.935,1.035,1.15,1.275,1.395,1.565,1.77,1.88,2.15
8/8/2013,0.935,1.02,1.14,1.27,1.385,1.565,1.765,1.883,2.15
8/7/2013,0.94,1.025,1.15,1.275,1.4,1.58,1.78,1.908,2.15
8/6/2013,0.94,1.03,1.155,1.32,1.435,1.615,1.82,1.905,2.15
8/5/2013,0.93,1.01,1.145,1.295,1.415,1.595,1.795,1.865,2.15
8/2/2013,0.94,1.025,1.155,1.33,1.46,1.64,1.855,1.99,2.15
8/1/2013,0.94,1.005,1.15,1.295,1.41,1.595,1.8,1.908,2.15
7/31/2013,0.94,1.005,1.155,1.3,1.425,1.615,1.81,1.925,2.15
7/30/2013,0.94,1.005,1.145,1.28,1.405,1.59,1.785,1.85,2.15
7/29/2013,0.94,1.005,1.13,1.255,1.37,1.545,1.74,1.828,2.1
7/26/2013,0.94,1.005,1.125,1.25,1.35,1.525,1.72,1.833,2.1
7/25/2013,0.94,1.01,1.135,1.25,1.36,1.535,1.73,1.848,2.1
7/24/2013,0.95,1,1.115,1.235,1.345,1.51,1.71,1.785,2.1
7/23/2013,0.95,1,1.115,1.23,1.33,1.51,1.695,1.84,2.1
7/22/2013,0.95,1,1.115,1.235,1.34,1.52,1.695,1.818,2.1
7/19/2013,0.95,1,1.115,1.235,1.34,1.52,1.71,1.788,2.1
7/18/2013,0.95,1,1.11,1.22,1.325,1.505,1.69,1.775,2.1
7/17/2013,0.95,1,1.11,1.23,1.335,1.53,1.7,1.785,2.1
7/16/2013,0.95,0.995,1.12,1.245,1.35,1.52,1.71,1.81,2.1
7/15/2013,0.95,0.995,1.135,1.255,1.37,1.565,1.755,1.895,2.1
7/12/2013,0.95,0.995,1.11,1.23,1.335,1.525,1.715,1.875,2.1
7/11/2013,0.95,1.01,1.13,1.245,1.36,1.55,1.735,1.89,2.1
7/10/2013,0.95,1.02,1.135,1.26,1.375,1.565,1.765,1.885,2.1
7/9/2013,0.95,1.03,1.15,1.28,1.395,1.595,1.78,1.863,2.1
7/8/2013,0.95,1.025,1.165,1.285,1.405,1.595,1.8,1.87,2.1
7/5/2013,0.94,1.025,1.15,1.275,1.395,1.58,1.77,1.91,2.05
7/4/2013,0.935,1.005,1.12,1.23,1.34,1.515,1.695,1.77,2
7/3/2013,0.93,0.975,1.09,1.195,1.295,1.465,1.635,1.77,1.9
7/2/2013,0.92,0.975,1.075,1.175,1.275,1.44,1.605,1.72,1.9
7/1/2013,0.92,0.98,1.075,1.185,1.285,1.45,1.625,1.75,1.9
6/28/2013,0.92,0.96,1.055,1.15,1.25,1.41,1.58,1.75,1.9
6/27/2013,0.92,0.97,1.075,1.16,1.265,1.43,1.605,1.81,1.9
6/26/2013,0.925,0.975,1.075,1.175,1.285,1.485,1.665,1.79,1.9
6/25/2013,0.925,0.99,1.095,1.215,1.32,1.485,1.665,1.868,1.9
6/24/2013,0.925,0.995,1.125,1.235,1.35,1.52,1.705,1.89,1.9
6/21/2013,0.91,0.95,1.065,1.18,1.29,1.45,1.625,1.73,1.9
6/20/2013,0.91,0.95,1.045,1.16,1.26,1.425,1.595,1.71,1.9
6/19/2013,0.91,0.945,1.03,1.11,1.205,1.36,1.525,1.75,1.75
6/18/2013,0.91,0.945,1.025,1.12,1.21,1.36,1.54,1.738,1.75
6/17/2013,0.91,0.935,1.02,1.105,1.2,1.35,1.515,1.61,1.75
6/14/2013,0.91,0.935,1.01,1.095,1.185,1.335,1.49,1.608,1.75
6/13/2013,0.913,0.943,1.018,1.11,1.2,1.355,1.51,1.665,1.75
6/12/2013,0.905,0.945,1.02,1.11,1.203,1.355,1.515,1.61,1.75
6/11/2013,0.905,0.945,1.02,1.11,1.203,1.355,1.515,1.655,1.75
6/10/2013,0.905,0.935,1.01,1.09,1.175,1.323,1.49,1.698,1.75
6/7/2013,0.905,0.933,0.995,1.075,1.145,1.293,1.47,1.635,1.75
6/6/2013,0.905,0.935,1,1.085,1.16,1.305,1.47,1.685,1.75
6/5/2013,0.91,0.94,1.01,1.1,1.175,1.323,1.495,1.655,1.75
6/4/2013,0.91,0.94,1.015,1.095,1.185,1.338,1.505,1.645,1.75
6/3/2013,0.903,0.94,1.01,1.093,1.173,1.315,1.475,1.595,1.675
5/31/2013,0.9,0.933,0.995,1.073,1.155,1.303,1.455,1.615,1.675
5/30/2013,0.91,0.943,1.015,1.09,1.17,1.32,1.478,1.585,1.675
5/29/2013,0.915,0.94,1.015,1.095,1.17,1.325,1.48,1.703,1.675
5/28/2013,0.908,0.933,0.998,1.065,1.135,1.273,1.44,1.648,1.675
5/27/2013,0.905,0.925,0.988,1.055,1.115,1.25,1.42,1.525,1.675
5/24/2013,0.91,0.93,0.995,1.06,1.128,1.26,1.42,1.58,1.675
5/23/2013,0.905,0.93,0.98,1.045,1.105,1.245,1.415,1.595,1.675
5/22/2013,0.908,0.935,0.983,1.035,1.095,1.235,1.375,1.495,1.55
5/21/2013,0.908,0.923,0.968,1.02,1.075,1.21,1.35,1.46,1.55
5/20/2013,0.908,0.925,0.973,1.025,1.088,1.213,1.355,1.485,1.55
5/17/2013,0.9,0.915,0.963,1.015,1.073,1.205,1.345,1.393,1.55
5/16/2013,0.895,0.908,0.955,1.013,1.075,1.208,1.348,1.445,1.55
5/15/2013,0.898,0.91,0.955,1.015,1.078,1.213,1.35,1.478,1.55
5/14/2013,0.898,0.908,0.938,0.998,1.058,1.185,1.32,1.508,1.55
5/13/2013,0.898,0.908,0.943,1,1.055,1.188,1.32,1.475,1.55
5/10/2013,0.895,0.91,0.945,1,1.06,1.19,1.325,1.51,1.55
5/9/2013,0.893,0.888,0.908,0.953,1.01,1.135,1.27,1.435,1.55
5/8/2013,0.895,0.893,0.92,0.968,1.023,1.153,1.283,1.395,1.55
5/7/2013,0.895,0.893,0.915,0.968,1.018,1.148,1.28,1.4,1.55
5/6/2013,0.895,0.898,0.923,0.97,1.023,1.145,1.285,1.405,1.55
5/3/2013,0.895,0.89,0.915,0.958,1.01,1.138,1.275,1.445,1.55
5/2/2013,0.898,0.895,0.933,0.978,1.033,1.165,1.3,1.49,1.65
5/1/2013,0.898,0.9,0.948,0.995,1.053,1.185,1.328,1.453,1.65
4/30/2013,0.898,0.9,0.948,0.995,1.053,1.185,1.328,1.485,1.65
4/29/2013,0.898,0.905,0.958,1.01,1.075,1.2,1.34,1.47,1.65
4/26/2013,0.9,0.91,0.96,1.015,1.08,1.21,1.34,1.505,1.65
4/25/2013,0.903,0.913,0.97,1.02,1.085,1.213,1.345,1.53,1.65
4/24/2013,0.903,0.915,0.973,1.025,1.093,1.215,1.353,1.47,1.65
4/23/2013,0.903,0.913,0.973,1.035,1.093,1.22,1.353,1.515,1.65
4/22/2013,0.905,0.92,0.985,1.043,1.11,1.24,1.37,1.498,1.65
4/19/2013,0.905,0.92,0.98,1.043,1.105,1.235,1.37,1.498,1.65
4/18/2013,0.905,0.92,0.97,1.03,1.095,1.225,1.355,1.488,1.65
4/17/2013,0.898,0.918,0.975,1.04,1.103,1.23,1.37,1.505,1.65
4/16/2013,0.9,0.918,0.975,1.04,1.103,1.23,1.37,1.5,1.65
4/15/2013,0.905,0.92,0.98,1.043,1.113,1.243,1.38,1.518,1.65
4/12/2013,0.905,0.92,0.985,1.053,1.115,1.245,1.383,1.528,1.65
4/11/2013,0.905,0.923,0.988,1.058,1.125,1.255,1.398,1.545,1.65
4/10/2013,0.905,0.925,0.99,1.06,1.128,1.26,1.398,1.54,1.65
4/9/2013,0.898,0.925,0.978,1.045,1.11,1.243,1.38,1.555,1.65
4/8/2013,0.9,0.923,0.97,1.04,1.108,1.243,1.38,1.54,1.65
4/5/2013,0.903,0.928,1,1.075,1.148,1.283,1.42,1.543,1.65
4/4/2013,0.9,0.93,1,1.075,1.145,1.28,1.415,1.543,1.65
4/3/2013,0.903,0.928,1,1.075,1.148,1.283,1.42,1.538,1.65
4/2/2013,0.905,0.928,0.998,1.07,1.145,1.28,1.418,1.538,1.65
4/1/2013,0.905,0.928,1,1.07,1.145,1.285,1.423,1.535,1.65
3/29/2013,0.905,0.93,1,1.07,1.145,1.28,1.415,1.53,1.65
3/28/2013,0.91,0.93,0.995,1.065,1.135,1.27,1.405,1.585,1.65
3/27/2013,0.91,0.93,0.995,1.08,1.15,1.285,1.42,1.568,1.65
3/26/2013,0.913,0.93,1.003,1.08,1.153,1.293,1.433,1.568,1.65
3/25/2013,0.91,0.93,1.005,1.08,1.155,1.29,1.425,1.613,1.65
3/22/2013,0.92,0.93,0.995,1.075,1.145,1.29,1.425,1.595,1.65
3/21/2013,0.92,0.935,1.005,1.085,1.16,1.3,1.44,1.625,1.65
3/20/2013,0.92,0.935,1.005,1.085,1.16,1.3,1.45,1.63,1.65
3/19/2013,0.92,0.935,1.01,1.085,1.165,1.31,1.45,1.598,1.65
3/18/2013,0.92,0.93,1.01,1.09,1.165,1.305,1.445,1.675,1.65
3/15/2013,0.92,0.945,1.02,1.115,1.19,1.33,1.475,1.608,1.65
3/14/2013,0.92,0.94,1.025,1.11,1.19,1.335,1.48,1.643,1.65
3/13/2013,0.92,0.945,1.02,1.11,1.19,1.335,1.485,1.64,1.65
3/12/2013,0.92,0.95,1.04,1.115,1.21,1.355,1.495,1.685,1.65
3/11/2013,0.92,0.965,1.045,1.145,1.23,1.375,1.52,1.71,1.65
3/8/2013,0.91,0.95,1.025,1.12,1.2,1.345,1.49,1.66,1.65
3/7/2013,0.91,0.94,1,1.095,1.17,1.3,1.44,1.53,1.65
3/6/2013,0.91,0.94,1,1.09,1.16,1.3,1.44,1.57,1.65
3/5/2013,0.91,0.93,1,1.085,1.155,1.295,1.44,1.558,1.65
3/4/2013,0.91,0.928,1,1.085,1.145,1.285,1.435,1.61,1.65
3/1/2013,0.91,0.933,1,1.085,1.153,1.293,1.435,1.563,1.65
2/28/2013,0.91,0.93,1,1.09,1.153,1.293,1.435,1.563,1.65
2/27/2013,0.91,0.93,0.995,1.085,1.15,1.29,1.435,1.563,1.65
2/26/2013,0.91,0.935,1.01,1.085,1.155,1.29,1.435,1.645,1.65
2/25/2013,0.913,0.94,1.018,1.11,1.175,1.325,1.475,1.603,1.65
2/22/2013,0.92,0.945,1.025,1.105,1.185,1.335,1.485,1.608,1.65
2/21/2013,0.92,0.945,1.025,1.11,1.19,1.34,1.495,1.61,1.65
2/20/2013,0.92,0.945,1.025,1.12,1.2,1.35,1.505,1.645,1.65
2/19/2013,0.92,0.945,1.015,1.12,1.195,1.35,1.505,1.615,1.65
2/18/2013,0.92,0.948,1.028,1.123,1.2,1.363,1.515,1.65,1.65
2/15/2013,0.92,0.945,1.025,1.115,1.205,1.355,1.515,1.648,1.65
2/14/2013,0.92,0.945,1.025,1.115,1.205,1.355,1.515,1.648,1.65
2/13/2013,0.92,0.945,1.025,1.115,1.205,1.355,1.515,1.648,1.65
2/12/2013,0.92,0.945,1.025,1.115,1.205,1.355,1.515,1.648,1.65
2/11/2013,0.92,0.945,1.025,1.115,1.205,1.355,1.515,1.648,1.65
2/8/2013,0.92,0.945,1.025,1.115,1.205,1.355,1.515,1.648,1.65
2/7/2013,0.92,0.945,1.025,1.115,1.2,1.355,1.515,1.65,1.65
2/6/2013,0.92,0.95,1.03,1.13,1.205,1.355,1.515,1.65,1.65
2/5/2013,0.92,0.948,1.025,1.12,1.2,1.363,1.52,1.63,1.65
2/4/2013,0.92,0.96,1.03,1.12,1.21,1.37,1.53,1.668,1.65
2/1/2013,0.913,0.948,1.02,1.11,1.188,1.348,1.505,1.6,1.65
1/31/2013,0.91,0.94,1.015,1.095,1.17,1.32,1.475,1.603,1.65
1/30/2013,0.91,0.945,1.025,1.105,1.175,1.325,1.485,1.59,1.65
1/29/2013,0.91,0.945,1.02,1.11,1.175,1.325,1.485,1.595,1.65
1/28/2013,0.91,0.94,1.015,1.085,1.16,1.31,1.465,1.625,1.65
1/25/2013,0.91,0.935,0.99,1.07,1.13,1.27,1.415,1.508,1.65
1/24/2013,0.91,0.933,0.99,1.073,1.125,1.27,1.41,1.545,1.65
1/23/2013,0.91,0.93,0.99,1.07,1.125,1.26,1.41,1.525,1.65
1/22/2013,0.91,0.93,0.995,1.075,1.135,1.27,1.42,1.555,1.65
1/21/2013,0.91,0.925,0.98,1.05,1.12,1.25,1.39,1.505,1.65
1/18/2013,0.91,0.93,0.99,1.065,1.13,1.255,1.4,1.54,1.65
1/17/2013,0.91,0.925,0.975,1.04,1.105,1.23,1.37,1.485,1.65
1/16/2013,0.91,0.93,0.995,1.055,1.12,1.255,1.4,1.54,1.65
1/15/2013,0.91,0.93,0.995,1.06,1.13,1.27,1.415,1.495,1.65
1/14/2013,0.91,0.94,1.005,1.08,1.14,1.285,1.435,1.505,1.65
1/11/2013,0.91,0.945,1.01,1.08,1.155,1.29,1.445,1.58,1.65
1/10/2013,0.91,0.94,1.01,1.08,1.15,1.29,1.45,1.58,1.65
1/9/2013,0.91,0.935,1.01,1.075,1.14,1.28,1.435,1.54,1.65
1/8/2013,0.91,0.935,1.01,1.065,1.135,1.28,1.435,1.548,1.65
1/7/2013,0.91,0.945,1.01,1.08,1.15,1.29,1.445,1.568,1.65
1/4/2013,0.91,0.945,1.005,1.07,1.14,1.29,1.445,1.56,1.65
1/3/2013,0.91,0.94,0.995,1.06,1.125,1.27,1.435,1.46,1.65
1/2/2013,0.91,0.938,1.003,1.07,1.13,1.27,1.44,1.53,1.65
1/1/2013,0.91,0.93,0.99,1.045,1.115,1.27,1.425,1.515,1.65
12/31/2012,0.91,0.93,0.99,1.045,1.115,1.27,1.425,1.515,1.65
12/28/2012,0.91,0.93,0.99,1.045,1.115,1.27,1.425,1.515,1.65
12/27/2012,0.905,0.93,0.99,1.045,1.11,1.26,1.415,1.508,2.355
12/26/2012,0.9,0.92,0.985,1.045,1.11,1.245,1.415,1.515,2.355
12/25/2012,0.9,0.92,0.98,1.04,1.1,1.245,1.405,1.49,2.355
12/24/2012,0.9,0.92,0.975,1.033,1.095,1.24,1.39,1.46,2.355
12/21/2012,0.89,0.915,0.965,1.025,1.09,1.22,1.365,1.455,2.355
12/20/2012,0.89,0.92,0.965,1.03,1.09,1.22,1.365,1.465,2.355
12/19/2012,0.89,0.915,0.965,1.033,1.1,1.223,1.368,1.455,2.355
12/18/2012,0.89,0.91,0.96,1.025,1.09,1.22,1.365,1.415,2.355
12/17/2012,0.89,0.91,0.95,1.015,1.08,1.22,1.355,1.455,2.355
12/14/2012,0.89,0.91,0.95,1.015,1.08,1.22,1.355,1.445,2.355
